Idx,Lexicalization,Condition,Condition name,Item
0,1,1,nc-nom,지은이 사실을 [MASK].
1,2,1,nc-nom,호준이 용돈을 [MASK].
2,3,1,nc-nom,은지가 불을 [MASK].
3,4,1,nc-nom,용준이 마중을 [MASK].
4,5,1,nc-nom,은영이 저녁을 [MASK].
5,6,1,nc-nom,강우가 돈을 [MASK].
6,7,1,nc-nom,채영이 행복을 [MASK].
7,8,1,nc-nom,태환이 소식을 [MASK].
8,9,1,nc-nom,채은이 편지를 [MASK].
9,10,1,nc-nom,종현이 소식을 [MASK].
10,11,1,nc-nom,이화가 손님을 [MASK].
11,12,1,nc-nom,창석이 선물을 [MASK].
12,13,1,nc-nom,하나가 자동차를 [MASK].
13,14,1,nc-nom,민기가 선생님을 [MASK].
14,15,1,nc-nom,원영이 만점을 [MASK].
15,16,1,nc-nom,상현이 음식을 [MASK].
16,17,1,nc-nom,혜미가 관심을 [MASK].
17,18,1,nc-nom,찬영이 꿈을 [MASK].
18,19,1,nc-nom,시은이 소리를 [MASK].
19,20,1,nc-nom,동준이 규칙을 [MASK].
20,21,1,nc-nom,영은이 생각을 [MASK].
21,22,1,nc-nom,유준이 열쇠를 [MASK].
22,23,1,nc-nom,새롬이 집을 [MASK].
23,24,1,nc-nom,강호가 음악을 [MASK].
24,25,1,nc-nom,나연이 의견을 [MASK].
25,26,1,nc-nom,영호가 한계를 [MASK].
26,27,1,nc-nom,지효가 여행을 [MASK].
27,28,1,nc-nom,우성이 소원을 [MASK].
28,29,1,nc-nom,영희가 동물을 [MASK].
29,30,1,nc-nom,서진이 그림을 [MASK].
30,31,1,nc-nom,채린이 심부름을 [MASK].
31,32,1,nc-nom,은혁이 짐을 [MASK].
32,33,1,nc-nom,희진이 이유를 [MASK].
33,34,1,nc-nom,재용이 정답을 [MASK].
34,35,1,nc-nom,지아가 밥을 [MASK].
35,36,1,nc-nom,태웅이 잘못을 [MASK].
36,37,1,nc-nom,아름이 돈을 [MASK].
37,38,1,nc-nom,상엽이 힘을 [MASK].
38,39,1,nc-nom,혜주가 거짓말을 [MASK].
39,40,1,nc-nom,현민이 실수를 [MASK].
40,41,1,nc-nom,은혜가 범인을 [MASK].
41,42,1,nc-nom,효섭이 학교를 [MASK].
42,43,1,nc-nom,지영이 수학을 [MASK].
43,44,1,nc-nom,도경이 보상을 [MASK].
44,45,1,nc-nom,보미가 제안을 [MASK].
45,46,1,nc-nom,민찬이 창문을 [MASK].
46,47,1,nc-nom,하은이 고비를 [MASK].
47,48,1,nc-nom,태우가 길을 [MASK].
48,49,1,nc-nom,은채가 모습을 [MASK].
49,50,1,nc-nom,성재가 음악을 [MASK].
50,51,1,nc-nom,가영이 귀를 [MASK].
51,52,1,nc-nom,석현이 길을 [MASK].
52,53,1,nc-nom,민지가 결과를 [MASK].
53,54,1,nc-nom,성우가 신발을 [MASK].
54,55,1,nc-nom,수정이 아이를 [MASK].
55,56,1,nc-nom,은찬이 잘못을 [MASK].
56,57,1,nc-nom,선미가 싸움을 [MASK].
57,58,1,nc-nom,재민이 지갑을 [MASK].
58,59,1,nc-nom,유진이 약을 [MASK].
59,60,1,nc-nom,민식이 문제를 [MASK].
60,1,2,nc-nun,지유는 사실을 [MASK].
61,2,2,nc-nun,이찬은 용돈을 [MASK].
62,3,2,nc-nun,새봄은 불을 [MASK].
63,4,2,nc-nun,선호는 마중을 [MASK].
64,5,2,nc-nun,혜령은 저녁을 [MASK].
65,6,2,nc-nun,민호는 돈을 [MASK].
66,7,2,nc-nun,희연은 행복을 [MASK].
67,8,2,nc-nun,용석은 소식을 [MASK].
68,9,2,nc-nun,주미는 편지를 [MASK].
69,10,2,nc-nun,동우는 정답을 [MASK].
70,11,2,nc-nun,선희는 손님을 [MASK].
71,12,2,nc-nun,영철은 선물을 [MASK].
72,13,2,nc-nun,유나는 자동차를 [MASK].
73,14,2,nc-nun,도환은 선생님을 [MASK].
74,15,2,nc-nun,하솔은 만점을 [MASK].
75,16,2,nc-nun,도완은 음식을 [MASK].
76,17,2,nc-nun,예지는 관심을 [MASK].
77,18,2,nc-nun,동윤은 꿈을 [MASK].
78,19,2,nc-nun,승연은 소리를 [MASK].
79,20,2,nc-nun,찬우는 규칙을 [MASK].
80,21,2,nc-nun,지현은 생각을 [MASK].
81,22,2,nc-nun,영환은 열쇠를 [MASK].
82,23,2,nc-nun,지연은 집을 [MASK].
83,24,2,nc-nun,재현은 음악을 [MASK].
84,25,2,nc-nun,현주는 의견을 [MASK].
85,26,2,nc-nun,윤호는 한계를 [MASK].
86,27,2,nc-nun,화영은 여행을 [MASK].
87,28,2,nc-nun,이준은 소원을 [MASK].
88,29,2,nc-nun,지영은 동물을 [MASK].
89,30,2,nc-nun,상혁은 그림을 [MASK].
90,31,2,nc-nun,다혜는 심부름을 [MASK].
91,32,2,nc-nun,형수는 짐을 [MASK].
92,33,2,nc-nun,은정은 이유를 [MASK].
93,34,2,nc-nun,석진는 정답을 [MASK].
94,35,2,nc-nun,연수는 밥을 [MASK].
95,36,2,nc-nun,도윤은 잘못을 [MASK].
96,37,2,nc-nun,지윤은 돈을 [MASK].
97,38,2,nc-nun,민우는 힘을 [MASK].
98,39,2,nc-nun,지혜는 거짓말을 [MASK].
99,40,2,nc-nun,연우는 실수를 [MASK].
100,41,2,nc-nun,민정은 범인을 [MASK].
101,42,2,nc-nun,용규는 학교를 [MASK].
102,43,2,nc-nun,유미는 수학을 [MASK].
103,44,2,nc-nun,동민은 보상을 [MASK].
104,45,2,nc-nun,승희는 제안을 [MASK].
105,46,2,nc-nun,강준은 창문을 [MASK].
106,47,2,nc-nun,유빈은 고비를 [MASK].
107,48,2,nc-nun,윤찬은 길을 [MASK].
108,49,2,nc-nun,효정은 모습을 [MASK].
109,50,2,nc-nun,준우는 음악을 [MASK].
110,51,2,nc-nun,아현은 귀를 [MASK].
111,52,2,nc-nun,민준은 길을 [MASK].
112,53,2,nc-nun,미현은 결과를 [MASK].
113,54,2,nc-nun,동현은 신발을 [MASK].
114,55,2,nc-nun,소미는 아이를 [MASK].
115,56,2,nc-nun,재욱은 잘못을 [MASK].
116,57,2,nc-nun,슬기는 싸움을 [MASK].
117,58,2,nc-nun,태윤은 지갑을 [MASK].
118,59,2,nc-nun,하윤은 약속을 [MASK].
119,60,2,nc-nun,진혁은 문제를 [MASK].
120,1,3,nc-to,해은도 사실을 [MASK].
121,2,3,nc-to,혁지도 용돈을 [MASK].
122,3,3,nc-to,민지도 불을 [MASK].
123,4,3,nc-to,용식도 마중을 [MASK].
124,5,3,nc-to,슬기도 저녁을 [MASK].
125,6,3,nc-to,기섭도 돈을 [MASK].
126,7,3,nc-to,희숙도 행복을 [MASK].
127,8,3,nc-to,영우도 소식을 [MASK].
128,9,3,nc-to,선아도 편지를 [MASK].
129,10,3,nc-to,진택도 소식을 [MASK].
130,11,3,nc-to,남주도 손님을 [MASK].
131,12,3,nc-to,진수도 선물을 [MASK].
132,13,3,nc-to,정아도 자동차를 [MASK].
133,14,3,nc-to,동철도 선생님을 [MASK].
134,15,3,nc-to,영선도 만점을 [MASK].
135,16,3,nc-to,영식도 음식을 [MASK].
136,17,3,nc-to,희은도 관심을 [MASK].
137,18,3,nc-to,대현도 꿈을 [MASK].
138,19,3,nc-to,효연도 소리를 [MASK].
139,20,3,nc-to,혁수도 규칙을 [MASK].
140,21,3,nc-to,경애도 생각을 [MASK].
141,22,3,nc-to,승재도 열쇠를 [MASK].
142,23,3,nc-to,은아도 집을 [MASK].
143,24,3,nc-to,동섭도 음악을 [MASK].
144,25,3,nc-to,현숙도 의견을 [MASK].
145,26,3,nc-to,종현도 한계를 [MASK].
146,27,3,nc-to,민아도 여행을 [MASK].
147,28,3,nc-to,상현도 소원을 [MASK].
148,29,3,nc-to,희선도 동물을 [MASK].
149,30,3,nc-to,민수도 그림을 [MASK].
150,31,3,nc-to,경아도 심부름을 [MASK].
151,32,3,nc-to,석준도 짐을 [MASK].
152,33,3,nc-to,화영도 이유를 [MASK].
153,34,3,nc-to,성민도 정답을 [MASK].
154,35,3,nc-to,지민도 밥을 [MASK].
155,36,3,nc-to,동현도 잘못을 [MASK].
156,37,3,nc-to,수영도 돈을 [MASK].
157,38,3,nc-to,동근도 힘을 [MASK].
158,39,3,nc-to,도은도 거짓말을 [MASK].
159,40,3,nc-to,기현도 실수를 [MASK].
160,41,3,nc-to,아진도 범인을 [MASK].
161,42,3,nc-to,동철도 학교를 [MASK].
162,43,3,nc-to,민하도 수학을 [MASK].
163,44,3,nc-to,동민도 보상을 [MASK].
164,45,3,nc-to,윤아도 제안을 [MASK].
165,46,3,nc-to,진원도 창문을 [MASK].
166,47,3,nc-to,윤슬도 고비를 [MASK].
167,48,3,nc-to,덕철도 길을 [MASK].
168,49,3,nc-to,지담도 모습을 [MASK].
169,50,3,nc-to,진호도 음악을 [MASK].
170,51,3,nc-to,자윤도 귀를 [MASK].
171,52,3,nc-to,영섭도 길을 [MASK].
172,53,3,nc-to,규리도 결과를 [MASK].
173,54,3,nc-to,동규도 신발을 [MASK].
174,55,3,nc-to,선희도 아이를 [MASK].
175,56,3,nc-to,용호도 잘못을 [MASK].
176,57,3,nc-to,윤정도 싸움을 [MASK].
177,58,3,nc-to,찬우도 지갑을 [MASK].
178,59,3,nc-to,은빈도 약속을 [MASK].
179,60,3,nc-to,승훈도 문제를 [MASK].
180,1,4,nom-nom,민규가 사실을 말했다. 하율이 사실을 [MASK].
181,2,4,nom-nom,하연이 용돈을 받았다. 성호가 용돈을 [MASK].
182,3,4,nom-nom,덕철이 불을 밝혔다. 수아가 불을 [MASK].
183,4,4,nom-nom,고은이 마중을 나왔다. 준열이 마중을 [MASK].
184,5,4,nom-nom,현석이 저녁을 만들었다. 아영이 저녁을 [MASK].
185,6,4,nom-nom,나영이 돈을 모았다. 은호가 돈을 [MASK].
186,7,4,nom-nom,도현이 행복을 느꼈다. 윤지가 행복을 [MASK].
187,8,4,nom-nom,유정이 소식을 알렸다. 유겸이 소식을 [MASK].
188,9,4,nom-nom,승재가 편지를 썼다. 도연이 편지를 [MASK].
189,10,4,nom-nom,서희가 정답을 알았다. 범수가 정답을 [MASK].
190,11,4,nom-nom,건후가 손님을 대했다. 혜정이 손님을 [MASK].
191,12,4,nom-nom,주희가 선물을 주었다. 진수가 선물을 [MASK].
192,13,4,nom-nom,태성이 자동차를 가졌다. 현정이 자동차를 [MASK].
193,14,4,nom-nom,윤진이 선생님을 따랐다. 인성이 선생님을 [MASK].
194,15,4,nom-nom,정우가 만점을 맞았다. 미영이 만점을 [MASK].
195,16,4,nom-nom,나희가 음식을 얻었다. 지훈이 음식을 [MASK].
196,17,4,nom-nom,주혁이 관심을 끌었다. 서연이 관심을 [MASK].
197,18,4,nom-nom,소율이 꿈을 이루었다. 광호가 꿈을 [MASK].
198,19,4,nom-nom,범규가 소리를 높였다. 채아가 소리를 [MASK].
199,20,4,nom-nom,민서가 규칙을 설명했다. 정훈이 규칙을 [MASK].
200,21,4,nom-nom,윤철이 생각을 주장했다. 연서가 생각을 [MASK].
201,22,4,nom-nom,소민이 열쇠를 찾았다. 진석이 열쇠를 [MASK].
202,23,4,nom-nom,민석이 집을 나섰다. 가은이 집을 [MASK].
203,24,4,nom-nom,가희가 음악을 즐겼다. 승호가 음악을 [MASK].
204,25,4,nom-nom,우재가 의견을 강조했다. 혜림이 의견을 [MASK].
205,26,4,nom-nom,혜린이 한계를 넘어섰다. 은우가 한계를 [MASK].
206,27,4,nom-nom,현준이 여행을 떠났다. 진주가 여행을 [MASK].
207,28,4,nom-nom,보라가 소원을 바랐다. 주환이 소원을 [MASK].
208,29,4,nom-nom,동원이 동물을 사랑했다. 하슬이 동물을 [MASK].
209,30,4,nom-nom,수연이 그림을 걸었다. 주완이 그림을 [MASK].
210,31,4,nom-nom,준혁이 심부름을 시켰다. 예진이 심부름을 [MASK].
211,32,4,nom-nom,여진이 짐을 들었다. 지혁이 짐을 [MASK].
212,33,4,nom-nom,준석이 이유를 생각했다.  수진이 이유를 [MASK].
213,34,4,nom-nom,수지가 정답을 몰랐다. 지환이 정답을 [MASK].
214,35,4,nom-nom,경수가 밥을 먹었다. 소연이 밥을 [MASK].
215,36,4,nom-nom,혜진이 잘못을 지적했다. 준영이 잘못을 [MASK].
216,37,4,nom-nom,재호가 돈을 냈다. 다혜가 돈을 [MASK].
217,38,4,nom-nom,다은이 힘을 가졌다. 혁수가 힘을 [MASK].
218,39,4,nom-nom,주원이 거짓말을 믿었다. 도영이 거짓말을 [MASK].
219,40,4,nom-nom,혜은이 실수를 이해했다. 태일이 실수를 [MASK].
220,41,4,nom-nom,덕환이 범인을 잡았다. 미연이 범인을 [MASK].
221,42,4,nom-nom,채연이 학교를 지났다. 현우가 학교를 [MASK].
222,43,4,nom-nom,재범이 수학을 가르쳤다. 채원이 수학을 [MASK].
223,44,4,nom-nom,민경이 보상을 요구했다. 경호가 보상을 [MASK].
224,45,4,nom-nom,동욱이 제안을 거부했다. 예림이 제안을 [MASK].
225,46,4,nom-nom,예린이 창문을 내렸다. 준기가 창문을 [MASK].
226,47,4,nom-nom,재윤이 고비를 넘었다. 예나가 고비를 [MASK].
227,48,4,nom-nom,소은이 길을 돌아왔다.  종호가 길을 [MASK].
228,49,4,nom-nom,장우가 모습을 드러냈다. 다연이 모습을 [MASK].
229,50,4,nom-nom,다윤이 음악을 들었다. 세훈이 음악을 [MASK].
230,51,4,nom-nom,상호가 귀를 막았다. 예원이 귀를 [MASK].
231,52,4,nom-nom,설아가 길을 물었다. 윤재가 길을 [MASK].
232,53,4,nom-nom,은광이 결과를 분석했다. 해원이 결과를 [MASK].
233,54,4,nom-nom,설윤이 신발을 샀다. 진호가 신발을 [MASK].
234,55,4,nom-nom,우석이 아이를 울렸다. 인혜가 아이를 [MASK].
235,56,4,nom-nom,재은이 잘못을 일삼았다. 기용이 잘못을 [MASK].
236,57,4,nom-nom,정식이 싸움을 일으켰다. 혜인이 싸움을 [MASK].
237,58,4,nom-nom,가람이 지갑을 잃었다. 기웅이 지갑을 [MASK].
238,59,4,nom-nom,강현이 약속을 잊었다. 은하가 약속을 [MASK].
239,60,4,nom-nom,재경이 문제를 제기했다. 덕수가 문제를 [MASK].
240,1,5,nun-nun,재효는 사실을 말했다. 소정은 사실을 [MASK].
241,2,5,nun-nun,혜원은 용돈을 받았다. 희섭은 용돈을 [MASK].
242,3,5,nun-nun,승현은 불을 밝혔다. 은비는 불을 [MASK].
243,4,5,nun-nun,수희는 마중을 나왔다. 준호는 마중을 [MASK].
244,5,5,nun-nun,종훈은 저녁을 만들었다. 서현은 저녁을 [MASK].
245,6,5,nun-nun,인영은 돈을 모았다. 규현은 돈을 [MASK].
246,7,5,nun-nun,민재는 행복을 느꼈다. 선예는 행복을 [MASK].
247,8,5,nun-nun,하영은 소식을 알렸다. 승우는 소식을 [MASK].
248,9,5,nun-nun,승민은 편지를 썼다. 희은은 편지를 [MASK].
249,10,5,nun-nun,민주는 정답을 알았다. 정환은 정답을 [MASK].
250,11,5,nun-nun,시환은 손님을 대했다. 세정은 손님을 [MASK].
251,12,5,nun-nun,소영은 선물을 주었다. 성훈은 선물을 [MASK].
252,13,5,nun-nun,희준은 자동차를 가졌다. 예서는 자동차를 [MASK].
253,14,5,nun-nun,혜연은 선생님을 따랐다. 준범은 선생님을 [MASK].
254,15,5,nun-nun,창성은 만점을 맞았다. 혜선은 만점을 [MASK].
255,16,5,nun-nun,다솜은 음식을 얻었다. 찬욱은 음식을 [MASK].
256,17,5,nun-nun,찬서는 관심을 끌었다. 하선은 관심을 [MASK].
257,18,5,nun-nun,은서는 꿈을 이루었다. 하준은 꿈을 [MASK].
258,19,5,nun-nun,기환은 소리를 높였다. 다슬은 소리를 [MASK].
259,20,5,nun-nun,윤희는 규칙을 설명했다. 상윤은 규칙을 [MASK].
260,21,5,nun-nun,건우는 생각을 주장했다. 설현은 생각을 [MASK].
261,22,5,nun-nun,승아는 열쇠를 찾았다. 예준은 열쇠를 [MASK].
262,23,5,nun-nun,지환은 집을 나섰다. 유리는 집을 [MASK].
263,24,5,nun-nun,소혜는 음악을 즐겼다. 호준은 음악을 [MASK].
264,25,5,nun-nun,성진은 의견을 강조했다. 연정은 의견을 [MASK].
265,26,5,nun-nun,채경은 한계를 넘어섰다. 영탁은 한계를 [MASK].
266,27,5,nun-nun,진웅은 여행을 떠났다. 찬미는 여행을 [MASK].
267,28,5,nun-nun,예빈은 소원을 바랐다. 장민은 소원을 [MASK].
268,29,5,nun-nun,윤석은 동물을 사랑했다. 예슬은 동물을 [MASK].
269,30,5,nun-nun,세희는 그림을 걸었다. 희성은 그림을 [MASK].
270,31,5,nun-nun,시우는 심부름을 시켰다. 서정은 심부름을 [MASK].
271,32,5,nun-nun,윤서는 짐을 들었다. 승윤은 짐을 [MASK].
272,33,5,nun-nun,창욱은 이유를 생각했다.  은서는 이유를 [MASK].
273,34,5,nun-nun,나예는 정답을 몰랐다. 종석은 정답을 [MASK].
274,35,5,nun-nun,지한은 밥을 먹었다. 미소는 밥을 [MASK].
275,36,5,nun-nun,도희는 잘못을 지적했다. 승환은 잘못을 [MASK].
276,37,5,nun-nun,유찬은 돈을 냈다. 혜윤은 돈을 [MASK].
277,38,5,nun-nun,해윤은 힘을 가졌다. 하진은 힘을 [MASK].
278,39,5,nun-nun,주안은 거짓말을 믿었다. 현아는 거짓말을 [MASK].
279,40,5,nun-nun,가현은 실수를 이해했다. 승근은 실수를 [MASK].
280,41,5,nun-nun,영석은 범인을 잡았다. 연지는 범인을 [MASK].
281,42,5,nun-nun,연주는 학교를 지났다. 경태는 학교를 [MASK].
282,43,5,nun-nun,동훈은 수학을 가르쳤다. 보경은 수학을 [MASK].
283,44,5,nun-nun,보영은 보상을 요구했다. 도겸은 보상을 [MASK].
284,45,5,nun-nun,준일은 제안을 거부했다. 다현은 제안을 [MASK].
285,46,5,nun-nun,민아는 창문을 내렸다. 규찬은 창문을 [MASK].
286,47,5,nun-nun,기석은 고비를 넘었다. 한나는 고비를 [MASK].
287,48,5,nun-nun,소현은 길을 돌아왔다. 희준은 길을 [MASK].
288,49,5,nun-nun,재훈은 모습을 드러냈다. 소희는 모습을 [MASK].
289,50,5,nun-nun,영미는 음악을 들었다. 동균은 음악을 [MASK].
290,51,5,nun-nun,태민은 귀를 막았다. 용선은 귀를 [MASK].
291,52,5,nun-nun,혜수는 길을 물었다. 영준은 길을 [MASK].
292,53,5,nun-nun,민건은 결과를 분석했다. 설하는 결과를 [MASK].
293,54,5,nun-nun,연아는 신발을 샀다. 명환은 신발을 [MASK].
294,55,5,nun-nun,원찬은 아이를 울렸다. 효주는 아이를 [MASK].
295,56,5,nun-nun,지애는 잘못을 일삼았다. 홍규는 잘못을 [MASK].
296,57,5,nun-nun,유성은 싸움을 일으켰다. 선화는 싸움을 [MASK].
297,58,5,nun-nun,아정은 지갑을 잃었다. 민종은 지갑을 [MASK].
298,59,5,nun-nun,상민은 약속을 잊었다. 지숙은 약속을 [MASK].
299,60,5,nun-nun,슬비는 문제를 제기했다. 세환은 문제를 [MASK].
300,1,6,nom-to,진용이 사실을 말했다. 아현도 사실을 [MASK].
301,2,6,nom-to,서연이 용돈을 받았다. 대성도 용돈을 [MASK].
302,3,6,nom-to,석민이 불을 밝혔다. 희영도 불을 [MASK].
303,4,6,nom-to,수아가 마중을 나왔다. 우준도 마중을 [MASK].
304,5,6,nom-to,승수가 저녁을 만들었다. 인화도 저녁을 [MASK].
305,6,6,nom-to,수연이 돈을 모았다. 윤식도 돈을 [MASK].
306,7,6,nom-to,현민이 행복을 느꼈다. 진솔도 행복을 [MASK].
307,8,6,nom-to,준희가 소식을 알렸다. 호준도 소식을 [MASK].
308,9,6,nom-to,동식이 편지를 썼다. 새론도 편지를 [MASK].
309,10,6,nom-to,은유가 정답을 알았다. 영호도 정답을 [MASK].
310,11,6,nom-to,범석이 손님을 대했다. 소정도 손님을 [MASK].
311,12,6,nom-to,혜은이 선물을 주었다. 진호도 선물을 [MASK].
312,13,6,nom-to,용재가 자동차를 가졌다. 윤비도 자동차를 [MASK].
313,14,6,nom-to,현화가 선생님을 따랐다. 석진도 선생님을 [MASK].
314,15,6,nom-to,상훈이 만점을 맞았다. 영미도 만점을 [MASK].
315,16,6,nom-to,지연이 음식을 얻었다. 진구도 음식을 [MASK].
316,17,6,nom-to,동만이 관심을 끌었다. 은경도 관심을 [MASK].
317,18,6,nom-to,인화가 꿈을 도루었다. 진규도 꿈을 [MASK].
318,19,6,nom-to,근석이 소리를 높였다. 소연도 소리를 [MASK].
319,20,6,nom-to,윤솔이 규칙을 설명했다. 범규도 규칙을 [MASK].
320,21,6,nom-to,윤재가 생각을 주장했다. 연아도 생각을 [MASK].
321,22,6,nom-to,미진이 열쇠를 찾았다. 윤호도 열쇠를 [MASK].
322,23,6,nom-to,윤범이 집을 나섰다. 주미도 집을 [MASK].
323,24,6,nom-to,희서가 음악을 즐겼다. 윤석도 음악을 [MASK].
324,25,6,nom-to,민혁이 의견을 강조했다. 미정도 의견을 [MASK].
325,26,6,nom-to,지현이 한계를 넘어섰다. 민준도 한계를 [MASK].
326,27,6,nom-to,성훈이 여행을 떠났다. 지아도 여행을 [MASK].
327,28,6,nom-to,다솜이 소원을 바랐다. 호철도 소원을 [MASK].
328,29,6,nom-to,영환이 동물을 사랑했다. 영희도 동물을 [MASK].
329,30,6,nom-to,미경이 그림을 걸었다. 진성도 그림을 [MASK].
330,31,6,nom-to,윤섭이 심부름을 시켰다. 지수도 심부름을 [MASK].
331,32,6,nom-to,단비가 짐을 들었다. 원우도 짐을 [MASK].
332,33,6,nom-to,병호가 이유를 생각했다. 서은도 이유를 [MASK].
333,34,6,nom-to,지희가 정답을 몰랐다. 우혁도 정답을 [MASK].
334,35,6,nom-to,용석이 밥을 먹었다. 미영도 밥을 [MASK].
335,36,6,nom-to,소윤이 잘못을 지적했다. 상민도 잘못을 [MASK].
336,37,6,nom-to,현우가 돈을 냈다. 신혜도 돈을 [MASK].
337,38,6,nom-to,경미가 힘을 가졌다. 동윤도 힘을 [MASK].
338,39,6,nom-to,우석이 거짓말을 믿었다. 희수도 거짓말을 [MASK].
339,40,6,nom-to,자영이 실수를 이해했다. 준서도 실수를 [MASK].
340,41,6,nom-to,현섭이 범인을 잡았다. 혜슬도 범인을 [MASK].
341,42,6,nom-to,승혜가 학교를 지났다. 용만도 학교를 [MASK].
342,43,6,nom-to,우식이 수학을 가르쳤다. 미선도 수학을 [MASK].
343,44,6,nom-to,초은이 보상을 요구했다. 동규도 보상을 [MASK].
344,45,6,nom-to,용준이 제안을 거부했다. 혜지도 제안을 [MASK].
345,46,6,nom-to,채린이 창문을 내렸다. 우영도 창문을 [MASK].
346,47,6,nom-to,진섭이 고비를 넘었다. 진아도 고비를 [MASK].
347,48,6,nom-to,은숙이 길을 돌아왔다.  동호도 길을 [MASK].
348,49,6,nom-to,규진이 모습을 드러냈다. 나래도 모습을 [MASK].
349,50,6,nom-to,숙희가 음악을 들었다. 동섭도 음악을 [MASK].
350,51,6,nom-to,윤규가 귀를 막았다. 혜솔도 귀를 [MASK].
351,52,6,nom-to,태연이 길을 물었다. 대환도 길을 [MASK].
352,53,6,nom-to,성진이 결과를 분석했다. 보람도 결과를 [MASK].
353,54,6,nom-to,정화가 신발을 샀다. 철수도 신발을 [MASK].
354,55,6,nom-to,호섭이 아이를 울렸다. 윤아도 아이를 [MASK].
355,56,6,nom-to,경희가 잘못을 일삼았다. 규호도 잘못을 [MASK].
356,57,6,nom-to,호영이 싸움을 일으켰다. 은주도 싸움을 [MASK].
357,58,6,nom-to,미진이 지갑을 잃었다. 윤호도 지갑을 [MASK].
358,59,6,nom-to,두호가 약속을 잊었다. 하원도 약속을 [MASK].
359,60,6,nom-to,호섭이 문제를 제기했다. 윤아도 문제를 [MASK].